CSID,CaseID,CSType,CSDate,CourtID,JudgeName
8141,41944,B,2025-01-27,2,Shri T.G. Rao
8142,42142,A,2024-12-25,1,Smt. D. Savitha
8143,42181,B,2025-05-27,2,Shri Y. Manjunath
8144,42328,A,2024-11-06,1,Shri A. Krishnamurthy
8145,42634,B,2024-08-26,1,Smt. J. Anitha
8146,42881,B,2024-12-23,2,Shri P.K. Sharma
8147,43667,A,2025-05-28,1,Smt. V. Patil
8148,43827,C,2025-03-13,2,Smt. R. Sumathi
8149,43885,C,2024-05-31,2,Shri Y. Manjunath
8150,43891,B,2024-05-20,1,Shri A. Krishnamurthy
8151,44633,B,2024-08-29,1,Shri B.N. Prasad
8152,44649,C,2024-06-07,2,Smt. K. Latha
8153,44828,B,2024-08-04,1,Shri Y. Manjunath
8154,45174,B,2024-09-28,2,Smt. N. Hegde
8155,45891,C,2024-10-01,2,Smt. P. Sridevi
8156,46224,A,2024-05-31,1,Smt. K. Latha
8157,46308,B,2025-03-06,1,Smt. R. Sumathi
8158,46511,A,2024-04-27,2,Shri S.R. Naik
8159,46887,A,2024-04-26,2,Smt. R. Sumathi
8160,47337,B,2024-12-11,2,Smt. R. Sumathi
8161,47369,B,2024-09-02,2,Shri Y. Manjunath
8162,47408,B,2024-03-08,2,Shri Y. Manjunath
8163,47569,B,2024-06-13,2,Shri P.K. Sharma
8164,47775,B,2025-01-11,1,Shri Y. Manjunath
8165,47946,A,2024-09-24,2,Shri A. Krishnamurthy
8166,47968,C,2024-10-27,2,Shri M.V. Reddy
8167,48188,B,2024-07-06,1,Shri P.K. Sharma
8168,48365,C,2025-05-26,1,Shri M.V. Reddy
8169,48416,A,2024-03-30,1,Shri Y. Manjunath
8170,48513,A,2024-12-10,1,Smt. V. Patil
8171,48677,B,2025-04-03,2,Shri M.V. Reddy
8172,48744,A,2024-05-12,1,Shri R.K. Kulkarni
8173,48804,B,2024-07-09,1,Shri T.G. Rao
8174,49189,B,2025-02-07,2,Smt. N. Hegde
8175,49651,A,2024-11-26,2,Shri Y. Manjunath
8176,49720,B,2025-03-08,2,Smt. D. Savitha
8177,11,A,2026-05-21,1,Smt. R. Sumathi
8178,196,B,2026-01-23,1,Smt. R. Sumathi
8179,313,A,2025-07-17,1,Shri M.V. Reddy
8180,405,B,2025-09-04,2,Shri M.V. Reddy
8181,522,B,2026-03-21,1,Shri R.K. Kulkarni
8182,590,A,2026-04-29,2,Smt. J. Anitha
8183,602,B,2025-09-29,1,Shri S.R. Naik
8184,727,A,2025-08-31,1,Shri A. Krishnamurthy
8185,729,B,2025-05-03,2,Smt. D. Savitha
8186,735,B,2025-05-12,2,Smt. K. Latha
8187,884,B,2025-06-02,2,Smt. P. Sridevi
8188,966,A,2026-03-07,2,Shri Y. Manjunath
8189,1011,B,2025-08-17,1,Smt. N. Hegde
8190,1106,B,2025-12-06,2,Smt. N. Hegde
8191,1289,C,2026-01-01,1,Smt. V. Patil
8192,1515,B,2025-11-08,1,Smt. R. Sumathi
8193,2564,A,2025-10-04,2,Shri P.K. Sharma
8194,2581,B,2025-03-01,1,Shri P.K. Sharma
8195,2627,A,2025-10-15,1,Shri S.R. Naik
8196,2828,B,2026-01-05,2,Shri A. Krishnamurthy
8197,3349,A,2025-05-28,2,Shri S.R. Naik
8198,3454,B,2025-11-20,1,Shri T.G. Rao
8199,3483,B,2025-11-03,2,Shri S.R. Naik
8200,3577,A,2026-01-17,2,Smt. P. Sridevi
8201,3764,B,2025-11-09,2,Shri R.K. Kulkarni
8202,3786,A,2025-09-17,1,Smt. J. Anitha
8203,3792,A,2025-07-10,1,Smt. K. Latha
8204,3864,A,2025-09-30,2,Shri M.V. Reddy
8205,3913,B,2026-01-29,1,Shri M.V. Reddy
8206,3975,A,2025-11-10,1,Smt. J. Anitha
8207,4019,B,2026-02-19,1,Smt. D. Savitha
8208,4198,B,2025-06-28,1,Smt. P. Sridevi
8209,4508,A,2026-03-11,1,Smt. N. Hegde
8210,4540,A,2026-01-19,2,Smt. K. Latha
8211,4578,B,2026-03-17,2,Shri S.R. Naik
8212,4615,B,2026-01-28,2,Shri Y. Manjunath
8213,4742,B,2025-08-01,1,Smt. V. Patil
8214,4896,B,2026-01-24,2,Smt. P. Sridevi
8215,5066,A,2025-07-09,2,Shri Y. Manjunath
8216,5152,A,2025-10-08,2,Shri M.V. Reddy
8217,5526,A,2026-04-13,2,Smt. P. Sridevi
8218,5828,A,2025-08-21,1,Smt. R. Sumathi
8219,5829,A,2025-06-11,2,Smt. P. Sridevi
8220,6068,A,2026-03-20,1,Shri B.N. Prasad
8221,6085,B,2026-02-05,1,Smt. P. Sridevi
8222,6131,A,2026-01-02,1,Smt. N. Hegde
8223,6546,B,2026-02-12,2,Shri P.K. Sharma
8224,7652,A,2025-12-22,1,Shri B.N. Prasad
8225,8048,C,2026-02-28,1,Smt. J. Anitha
8226,8288,B,2026-03-07,2,Smt. N. Hegde
8227,9369,B,2025-11-20,2,Smt. P. Sridevi
8228,9674,B,2025-09-09,2,Shri S.R. Naik
8229,9899,B,2025-07-07,1,Smt. K. Latha
8230,10079,B,2026-03-08,2,Shri T.G. Rao
8231,10102,B,2025-12-02,1,Shri Y. Manjunath
8232,10155,B,2026-03-05,1,Shri M.V. Reddy
8233,10279,A,2025-09-14,2,Smt. K. Latha
8234,10510,C,2026-01-29,2,Shri S.R. Naik
8235,11592,B,2025-11-26,2,Shri M.V. Reddy
8236,11629,A,2025-06-23,2,Shri R.K. Kulkarni
8237,12244,B,2026-01-29,2,Shri P.K. Sharma
8238,12284,A,2025-12-03,1,Smt. K. Latha
8239,12446,A,2026-04-30,2,Shri B.N. Prasad
8240,12880,B,2025-09-04,1,Smt. D. Savitha
8241,12974,B,2026-01-02,2,Smt. V. Patil
8242,13988,B,2025-12-16,1,Shri B.N. Prasad
8243,13998,B,2025-05-26,1,Smt. P. Sridevi
8244,14522,B,2025-10-25,1,Smt. K. Latha
8245,14733,B,2025-08-10,2,Shri B.N. Prasad
8246,14803,B,2025-12-25,1,Shri P.K. Sharma
8247,15070,B,2025-06-05,2,Smt. J. Anitha
8248,15635,C,2025-03-10,2,Shri P.K. Sharma
8249,15650,A,2025-09-21,2,Shri Y. Manjunath
8250,15763,B,2025-05-11,1,Shri S.R. Naik
8251,16760,B,2026-03-12,2,Shri Y. Manjunath
8252,16799,B,2025-10-22,2,Smt. K. Latha
8253,16863,A,2025-07-10,1,Shri M.V. Reddy
8254,17236,A,2025-06-23,2,Shri A. Krishnamurthy
8255,17787,B,2026-02-03,1,Shri M.V. Reddy
8256,18095,A,2025-11-19,2,Smt. J. Anitha
8257,18175,C,2025-06-19,2,Smt. N. Hegde
8258,18364,B,2025-08-15,1,Smt. P. Sridevi
8259,18669,B,2025-10-19,1,Smt. R. Sumathi
8260,18699,B,2026-05-16,1,Smt. K. Latha
8261,19428,B,2025-12-18,1,Shri T.G. Rao
8262,19533,B,2025-10-17,2,Shri B.N. Prasad
8263,19931,B,2025-05-19,2,Shri S.R. Naik
8264,20806,B,2026-02-12,1,Shri R.K. Kulkarni
8265,20974,A,2025-09-26,1,Shri B.N. Prasad
8266,21028,A,2025-11-02,2,Smt. J. Anitha
8267,21198,B,2025-12-31,2,Smt. P. Sridevi
8268,22201,A,2025-05-13,1,Shri Y. Manjunath
8269,22295,A,2025-07-13,1,Shri S.R. Naik
8270,22311,A,2025-12-15,2,Shri B.N. Prasad
8271,22731,B,2025-09-11,2,Shri Y. Manjunath
8272,22797,A,2026-05-23,2,Smt. J. Anitha
8273,22818,A,2026-06-19,1,Smt. D. Savitha
8274,23311,B,2025-12-03,1,Shri S.R. Naik
8275,23587,C,2025-04-17,1,Smt. R. Sumathi
8276,23594,B,2025-09-24,1,Shri B.N. Prasad
8277,23753,B,2025-12-05,2,Shri Y. Manjunath
8278,23936,A,2025-09-28,2,Smt. K. Latha
8279,24028,B,2025-10-06,1,Smt. D. Savitha
8280,24198,B,2026-03-22,2,Shri P.K. Sharma
8281,24719,A,2025-10-16,1,Shri S.R. Naik
8282,25160,A,2025-12-25,2,Smt. N. Hegde
8283,25231,B,2026-04-11,2,Smt. K. Latha
8284,25246,A,2026-02-14,2,Shri Y. Manjunath
8285,25361,A,2025-10-03,2,Smt. D. Savitha
8286,25377,B,2025-10-10,2,Shri R.K. Kulkarni
8287,26016,A,2025-10-13,2,Smt. K. Latha
8288,26073,A,2025-05-23,2,Shri T.G. Rao
8289,26158,B,2025-06-14,1,Shri B.N. Prasad
8290,26290,A,2025-08-23,2,Shri A. Krishnamurthy
8291,26308,C,2025-11-03,2,Shri S.R. Naik
8292,26569,C,2025-05-15,1,Shri Y. Manjunath
8293,26931,B,2025-09-01,1,Shri R.K. Kulkarni
8294,26966,B,2025-06-11,1,Smt. P. Sridevi
8295,27339,B,2025-09-02,1,Smt. J. Anitha
8296,27891,B,2025-07-01,1,Shri A. Krishnamurthy
8297,28099,B,2026-04-13,2,Shri P.K. Sharma
8298,28113,B,2025-05-31,2,Shri P.K. Sharma
8299,28233,B,2025-05-14,2,Smt. D. Savitha
8300,28393,B,2025-08-23,1,Shri R.K. Kulkarni
8301,28783,B,2025-10-20,2,Shri R.K. Kulkarni
8302,29007,C,2025-12-07,1,Shri B.N. Prasad
8303,29704,B,2026-02-04,2,Shri Y. Manjunath
8304,29708,B,2026-03-03,1,Shri Y. Manjunath
8305,29856,B,2025-08-25,1,Shri P.K. Sharma
8306,29893,C,2025-05-09,2,Shri Y. Manjunath
8307,30088,B,2026-04-01,2,Smt. D. Savitha
8308,30140,C,2025-12-03,2,Smt. P. Sridevi
8309,30329,A,2026-05-04,2,Smt. R. Sumathi
8310,30408,C,2025-12-03,1,Smt. J. Anitha
8311,30731,C,2025-10-02,2,Smt. J. Anitha
8312,31197,B,2025-10-20,2,Smt. N. Hegde
8313,31284,A,2025-11-17,2,Smt. K. Latha
8314,31439,A,2025-07-16,2,Shri M.V. Reddy
8315,31471,B,2025-07-26,2,Shri P.K. Sharma
8316,32040,B,2025-09-21,2,Shri S.R. Naik
8317,32052,A,2025-10-02,1,Smt. J. Anitha
8318,32111,B,2025-09-12,2,Smt. N. Hegde
8319,32313,B,2025-12-22,1,Shri M.V. Reddy
8320,32423,B,2025-08-22,2,Shri T.G. Rao
8321,32452,B,2025-12-18,2,Smt. V. Patil
8322,32685,A,2025-08-28,2,Shri Y. Manjunath
8323,32740,B,2026-01-29,2,Shri M.V. Reddy
8324,32900,C,2025-08-23,2,Shri A. Krishnamurthy
8325,33028,C,2025-05-22,2,Shri B.N. Prasad
8326,33082,A,2026-02-12,2,Shri S.R. Naik
8327,33143,A,2025-08-01,1,Shri M.V. Reddy
8328,33243,B,2026-02-12,2,Smt. V. Patil
8329,33247,B,2026-02-20,1,Smt. P. Sridevi
8330,33325,B,2026-02-15,1,Shri M.V. Reddy
8331,33476,B,2025-07-28,2,Shri S.R. Naik
8332,33748,B,2025-10-28,2,Smt. P. Sridevi
8333,33764,A,2025-08-13,1,Shri M.V. Reddy
8334,33949,B,2025-06-19,1,Shri R.K. Kulkarni
8335,34139,A,2025-07-23,1,Smt. V. Patil
8336,34835,A,2026-02-16,1,Smt. J. Anitha
8337,34908,C,2025-03-07,1,Shri B.N. Prasad
8338,34979,B,2026-04-30,1,Shri S.R. Naik
8339,35053,A,2025-10-16,1,Shri P.K. Sharma
8340,35176,C,2025-12-30,1,Shri M.V. Reddy
8341,35396,A,2026-02-05,2,Shri B.N. Prasad
8342,36394,B,2025-07-21,2,Smt. N. Hegde
8343,36494,B,2026-01-10,1,Smt. V. Patil
8344,36696,A,2026-01-07,2,Shri R.K. Kulkarni
8345,36887,A,2025-07-29,2,Smt. V. Patil
8346,36913,C,2025-10-02,1,Shri M.V. Reddy
8347,37517,B,2025-06-25,2,Smt. D. Savitha
8348,37545,B,2026-02-08,1,Smt. K. Latha
8349,37661,B,2025-07-21,2,Smt. V. Patil
8350,37687,A,2025-08-07,2,Shri R.K. Kulkarni
8351,37961,B,2026-01-30,2,Shri R.K. Kulkarni
8352,38399,B,2025-11-06,2,Shri B.N. Prasad
8353,38632,B,2025-09-23,2,Smt. J. Anitha
8354,39007,A,2025-09-23,1,Shri Y. Manjunath
8355,40730,B,2026-02-22,1,Shri A. Krishnamurthy
8356,40937,B,2025-08-20,1,Shri P.K. Sharma
8357,41088,A,2025-04-23,1,Smt. D. Savitha
8358,41436,A,2025-12-28,2,Smt. K. Latha
8359,41943,C,2026-01-07,1,Smt. N. Hegde
8360,42244,B,2025-08-12,2,Shri S.R. Naik
8361,42659,B,2026-04-10,2,Smt. J. Anitha
8362,42733,A,2025-10-05,2,Smt. R. Sumathi
8363,42882,B,2025-07-25,2,Shri Y. Manjunath
8364,42969,B,2025-09-08,2,Shri A. Krishnamurthy
8365,42985,B,2025-04-16,1,Shri R.K. Kulkarni
8366,43078,B,2026-04-19,1,Shri T.G. Rao
8367,43221,B,2025-04-12,1,Shri M.V. Reddy
8368,43466,A,2026-04-18,2,Smt. P. Sridevi
8369,43502,B,2026-02-23,2,Shri Y. Manjunath
8370,43761,B,2026-02-18,1,Smt. N. Hegde
8371,43852,A,2025-11-27,1,Smt. D. Savitha
8372,43931,A,2026-03-02,1,Shri P.K. Sharma
8373,44158,B,2025-06-18,2,Shri Y. Manjunath
8374,44394,C,2026-02-06,1,Shri T.G. Rao
8375,44467,B,2026-05-23,1,Shri P.K. Sharma
8376,44528,A,2025-10-11,1,Shri B.N. Prasad
8377,44627,B,2025-12-12,1,Smt. R. Sumathi
8378,44718,C,2025-08-13,2,Shri A. Krishnamurthy
8379,44798,B,2025-06-24,1,Smt. K. Latha
8380,44963,B,2026-05-04,2,Smt. N. Hegde
8381,45063,B,2025-03-25,1,Shri B.N. Prasad
8382,45459,B,2025-03-12,2,Shri M.V. Reddy
8383,46074,A,2025-11-16,2,Shri T.G. Rao
8384,46343,A,2025-12-17,2,Smt. V. Patil
8385,46354,B,2025-08-21,1,Shri A. Krishnamurthy
8386,46358,B,2025-05-18,2,Smt. J. Anitha
8387,46465,B,2025-11-15,2,Smt. K. Latha
8388,46656,A,2026-01-22,2,Shri M.V. Reddy
8389,47428,A,2026-01-17,2,Shri P.K. Sharma
8390,47630,B,2026-01-15,1,Shri M.V. Reddy
8391,47691,B,2026-01-14,1,Smt. N. Hegde
8392,47715,B,2025-05-11,2,Shri M.V. Reddy
8393,47766,B,2026-03-08,1,Smt. D. Savitha
8394,47811,B,2025-10-16,1,Shri S.R. Naik
8395,48643,C,2026-05-25,1,Smt. K. Latha
8396,48922,B,2025-08-23,1,Shri B.N. Prasad
8397,49299,B,2026-04-10,1,Shri P.K. Sharma
8398,49446,A,2026-03-29,2,Shri P.K. Sharma
8399,49912,B,2025-08-13,2,Smt. P. Sridevi
8400,49960,A,2025-11-13,2,Shri Y. Manjunath
8401,614,A,2026-06-30,2,Smt. J. Anitha
8402,1130,B,2026-06-30,2,Shri P.K. Sharma
8403,1911,B,2026-06-30,1,Shri M.V. Reddy
8404,2663,B,2026-06-30,1,Smt. J. Anitha
8405,2963,A,2026-06-30,2,Smt. K. Latha
8406,3187,A,2026-05-30,2,Smt. J. Anitha
8407,3836,A,2026-06-30,1,Shri M.V. Reddy
8408,4867,B,2026-06-16,2,Shri M.V. Reddy
8409,5465,B,2026-06-17,1,Smt. J. Anitha
8410,5621,B,2026-06-30,1,Shri B.N. Prasad
8411,6311,B,2026-05-04,2,Smt. J. Anitha
8412,6610,A,2026-06-21,1,Shri Y. Manjunath
8413,6839,A,2026-06-30,1,Smt. N. Hegde
8414,7445,A,2026-06-30,1,Smt. R. Sumathi
8415,9211,B,2026-06-01,2,Shri T.G. Rao
8416,9447,B,2026-06-30,2,Smt. P. Sridevi
8417,10163,C,2026-06-30,2,Smt. J. Anitha
8418,10259,C,2026-06-30,1,Shri M.V. Reddy
8419,10384,B,2026-03-15,2,Smt. J. Anitha
8420,13190,B,2026-06-30,2,Shri M.V. Reddy
8421,13917,B,2026-06-16,1,Smt. R. Sumathi
8422,14460,B,2026-06-30,2,Shri S.R. Naik
8423,14557,B,2026-05-08,1,Shri M.V. Reddy
8424,14887,A,2026-06-30,1,Smt. K. Latha
8425,15629,A,2026-06-30,1,Smt. J. Anitha
8426,15994,C,2026-06-30,2,Smt. K. Latha
8427,16347,B,2026-06-30,1,Shri P.K. Sharma
8428,16936,B,2026-06-04,2,Shri P.K. Sharma
8429,17005,B,2026-05-22,2,Smt. K. Latha
8430,17707,B,2026-06-30,1,Shri B.N. Prasad
8431,17733,B,2026-06-30,2,Smt. D. Savitha
8432,17768,B,2026-03-01,1,Shri T.G. Rao
8433,18194,B,2026-05-15,2,Shri Y. Manjunath
8434,19071,C,2026-06-30,2,Shri P.K. Sharma
8435,19937,C,2026-06-30,2,Smt. V. Patil
8436,19942,B,2026-05-28,2,Smt. J. Anitha
8437,20245,A,2026-06-30,2,Shri P.K. Sharma
8438,22431,C,2026-06-30,1,Smt. D. Savitha
8439,22661,A,2026-06-16,1,Shri M.V. Reddy
8440,23355,A,2026-05-16,1,Shri T.G. Rao
8441,23382,A,2026-04-23,2,Smt. D. Savitha
8442,23515,B,2026-05-31,1,Shri A. Krishnamurthy
8443,23542,C,2026-06-30,2,Shri P.K. Sharma
8444,23595,B,2026-06-30,2,Shri B.N. Prasad
8445,25614,A,2026-06-30,1,Shri A. Krishnamurthy
8446,25886,A,2026-06-30,2,Shri Y. Manjunath
8447,26539,B,2026-06-30,1,Smt. N. Hegde
8448,27254,C,2026-03-23,2,Shri A. Krishnamurthy
8449,27538,C,2026-06-14,2,Shri B.N. Prasad
8450,29208,B,2026-06-30,1,Smt. V. Patil
8451,29878,A,2026-06-30,2,Smt. N. Hegde
8452,30272,A,2026-06-30,1,Smt. R. Sumathi
8453,32268,B,2026-06-30,1,Shri M.V. Reddy
8454,33660,B,2026-06-30,2,Shri T.G. Rao
8455,34390,B,2026-02-17,1,Shri P.K. Sharma
8456,34721,C,2026-05-28,1,Smt. V. Patil
8457,35658,A,2026-06-30,2,Shri R.K. Kulkarni
8458,36794,C,2026-06-30,1,Smt. J. Anitha
8459,36875,B,2026-06-30,1,Smt. D. Savitha
8460,38815,B,2026-03-24,2,Shri M.V. Reddy
8461,38844,B,2026-06-30,2,Shri M.V. Reddy
8462,41040,C,2026-06-30,1,Shri S.R. Naik
8463,41439,A,2026-05-23,1,Smt. J. Anitha
8464,41998,B,2026-06-30,1,Smt. R. Sumathi
8465,43097,B,2026-04-19,2,Smt. V. Patil
8466,43680,A,2026-06-30,1,Shri B.N. Prasad
8467,44086,C,2026-06-30,1,Shri M.V. Reddy
8468,44089,B,2026-06-30,1,Smt. D. Savitha
8469,44460,B,2026-06-30,2,Shri M.V. Reddy
8470,45282,B,2026-06-30,2,Smt. J. Anitha
8471,45712,A,2026-04-10,2,Shri S.R. Naik
8472,48126,A,2026-05-23,1,Shri M.V. Reddy
8473,48182,B,2026-04-15,1,Smt. P. Sridevi
8474,49393,B,2026-04-19,1,Smt. N. Hegde
8475,49589,A,2026-06-30,1,Smt. D. Savitha
8476,7470,B,2023-11-20,2,Shri T.G. Rao
8477,9533,A,2023-10-09,2,Smt. K. Latha
8478,20386,A,2024-02-14,2,Shri M.V. Reddy
8479,20467,B,2023-06-02,2,Smt. R. Sumathi
8480,21106,A,2024-01-15,2,Shri T.G. Rao
8481,25033,B,2023-07-04,2,Smt. R. Sumathi
8482,28845,C,2024-02-01,1,Shri S.R. Naik
8483,40355,B,2024-01-25,2,Smt. J. Anitha
8484,40605,B,2023-06-29,2,Shri S.R. Naik
8485,2686,B,2025-02-25,1,Shri B.N. Prasad
8486,3590,B,2024-07-09,1,Smt. J. Anitha
8487,4887,B,2025-02-13,1,Shri M.V. Reddy
8488,6557,B,2024-11-26,2,Smt. K. Latha
8489,8062,B,2024-09-27,2,Smt. D. Savitha
8490,15646,A,2024-06-15,1,Smt. V. Patil
8491,18409,A,2025-01-08,2,Shri M.V. Reddy
8492,18416,A,2024-09-14,1,Smt. D. Savitha
8493,19784,A,2025-02-05,2,Smt. D. Savitha
8494,25870,B,2025-05-15,1,Smt. P. Sridevi
8495,27406,B,2024-12-09,2,Smt. J. Anitha
8496,29098,A,2024-07-07,2,Shri B.N. Prasad
8497,34785,B,2024-10-06,1,Shri P.K. Sharma
8498,38971,A,2024-08-23,1,Smt. D. Savitha
8499,40105,B,2025-02-05,1,Smt. K. Latha
8500,42484,A,2024-08-03,2,Smt. R. Sumathi
8501,45346,B,2025-04-10,2,Shri S.R. Naik
8502,1846,B,2026-04-16,1,Shri M.V. Reddy
8503,20265,B,2025-10-15,1,Smt. D. Savitha
8504,24415,A,2026-02-11,2,Shri T.G. Rao
8505,24804,B,2026-03-19,2,Shri P.K. Sharma
8506,34761,B,2025-06-11,2,Shri B.N. Prasad
8507,37953,B,2025-12-23,2,Smt. K. Latha
8508,39059,B,2026-02-07,1,Shri T.G. Rao
8509,41190,A,2025-08-19,2,Smt. D. Savitha
8510,41420,A,2025-10-04,1,Smt. P. Sridevi
8511,11924,B,2026-06-30,2,Smt. J. Anitha
8512,27453,A,2026-03-30,1,Shri B.N. Prasad
8513,31004,A,2026-06-30,1,Smt. R. Sumathi
8514,41210,A,2026-03-27,1,Smt. N. Hegde
8515,43749,B,2026-06-30,1,Shri B.N. Prasad
8516,255,A,2023-07-17,1,Smt. V. Patil
8517,3128,B,2023-11-30,2,Shri Y. Manjunath
8518,5091,A,2024-01-18,2,Smt. P. Sridevi
8519,7880,C,2023-09-20,2,Shri T.G. Rao
8520,11240,B,2023-11-29,1,Smt. D. Savitha
8521,13663,A,2023-07-09,1,Smt. V. Patil
8522,13921,B,2023-06-20,2,Smt. P. Sridevi
8523,16920,C,2023-11-23,1,Smt. D. Savitha
8524,17863,C,2023-04-17,2,Shri Y. Manjunath
8525,23149,C,2024-01-16,1,Smt. N. Hegde
8526,29271,A,2024-05-25,1,Smt. R. Sumathi
8527,30790,B,2024-01-19,2,Smt. P. Sridevi
8528,30996,A,2023-08-17,2,Shri B.N. Prasad
8529,40260,A,2023-10-19,1,Shri S.R. Naik
8530,40672,A,2023-09-01,2,Smt. R. Sumathi
8531,40858,B,2023-07-21,1,Smt. N. Hegde
8532,43019,B,2023-06-18,2,Smt. R. Sumathi
8533,44805,A,2024-02-04,1,Shri Y. Manjunath
8534,46600,A,2023-05-31,2,Smt. V. Patil
8535,48232,A,2024-03-10,2,Smt. J. Anitha
8536,48536,A,2024-01-08,1,Shri T.G. Rao
8537,49268,A,2023-05-06,2,Shri Y. Manjunath
8538,658,B,2024-07-15,2,Shri R.K. Kulkarni
8539,2286,B,2024-08-15,1,Shri T.G. Rao
8540,6524,C,2024-12-13,1,Smt. D. Savitha
8541,16462,B,2024-08-16,1,Shri T.G. Rao
8542,18502,A,2025-03-03,2,Smt. D. Savitha
8543,20159,A,2024-11-04,2,Shri P.K. Sharma
8544,22280,A,2024-10-13,1,Shri T.G. Rao
8545,22448,B,2024-08-15,2,Smt. P. Sridevi
8546,22676,C,2025-03-19,2,Shri P.K. Sharma
8547,23631,B,2024-09-15,2,Smt. K. Latha
8548,27049,A,2024-10-02,1,Shri A. Krishnamurthy
8549,27522,A,2024-08-30,2,Shri M.V. Reddy
8550,30633,B,2025-01-07,1,Shri M.V. Reddy
8551,33658,B,2024-09-24,1,Shri A. Krishnamurthy
8552,35379,B,2024-03-29,1,Smt. V. Patil
8553,35917,A,2024-06-29,1,Smt. V. Patil
8554,36283,B,2024-12-01,2,Shri R.K. Kulkarni
8555,36531,B,2024-12-16,2,Smt. K. Latha
8556,43836,C,2025-05-01,2,Smt. P. Sridevi
8557,44552,B,2024-06-09,1,Smt. N. Hegde
8558,45423,B,2024-08-24,1,Shri R.K. Kulkarni
8559,47068,A,2025-04-12,2,Smt. D. Savitha
8560,47754,B,2025-05-26,1,Shri B.N. Prasad
8561,528,B,2025-06-05,2,Smt. R. Sumathi
8562,1082,A,2026-05-20,1,Smt. D. Savitha
8563,7499,A,2025-06-08,2,Shri P.K. Sharma
8564,7605,B,2026-04-15,2,Shri A. Krishnamurthy
8565,10635,B,2025-11-29,2,Smt. D. Savitha
8566,11641,B,2025-09-09,2,Smt. R. Sumathi
8567,13718,A,2026-03-04,1,Smt. D. Savitha
8568,14421,B,2026-03-20,2,Shri M.V. Reddy
8569,20231,B,2025-03-25,1,Smt. K. Latha
8570,20758,B,2026-03-04,1,Shri M.V. Reddy
8571,21364,A,2026-05-26,2,Shri S.R. Naik
8572,23047,B,2025-09-20,1,Smt. P. Sridevi
8573,28563,B,2026-03-27,1,Smt. R. Sumathi
8574,29162,B,2026-04-19,1,Smt. R. Sumathi
8575,30603,B,2025-04-29,1,Shri Y. Manjunath
8576,30615,A,2025-11-01,1,Shri B.N. Prasad
8577,32029,A,2025-07-11,2,Shri T.G. Rao
8578,34607,B,2025-11-17,2,Shri S.R. Naik
8579,34914,A,2025-12-28,1,Shri T.G. Rao
8580,35455,A,2025-05-31,1,Shri M.V. Reddy
8581,36267,C,2026-02-09,2,Smt. N. Hegde
8582,37604,C,2025-12-01,1,Smt. R. Sumathi
8583,38741,C,2025-04-19,1,Smt. J. Anitha
8584,39795,A,2025-05-08,2,Shri T.G. Rao
8585,39936,A,2025-05-12,1,Shri Y. Manjunath
8586,40065,C,2026-05-03,2,Shri B.N. Prasad
8587,41233,C,2025-10-19,2,Shri R.K. Kulkarni
8588,41700,A,2025-12-25,2,Shri T.G. Rao
8589,42264,C,2025-09-22,2,Shri R.K. Kulkarni
8590,43169,B,2025-04-16,2,Shri M.V. Reddy
8591,43481,B,2026-02-28,1,Shri R.K. Kulkarni
8592,43644,B,2025-11-02,1,Smt. V. Patil
8593,44297,B,2025-04-22,1,Smt. D. Savitha
8594,44484,C,2025-04-12,2,Shri P.K. Sharma
8595,44989,B,2025-10-25,2,Smt. P. Sridevi
8596,46340,B,2025-06-03,1,Smt. K. Latha
8597,46494,C,2025-09-18,1,Shri P.K. Sharma
8598,49646,C,2026-03-31,2,Shri P.K. Sharma
8599,2818,A,2026-02-10,2,Smt. V. Patil
8600,8482,B,2026-06-02,1,Smt. P. Sridevi
8601,16314,B,2026-02-06,2,Smt. K. Latha
8602,17866,A,2026-05-10,2,Smt. D. Savitha
8603,19111,C,2026-06-30,2,Smt. P. Sridevi
8604,22118,C,2026-05-27,1,Smt. K. Latha
8605,28287,C,2026-06-30,2,Smt. J. Anitha
8606,30511,A,2026-06-30,1,Shri R.K. Kulkarni
8607,31079,A,2026-06-30,1,Shri P.K. Sharma
8608,34515,B,2026-03-08,2,Smt. J. Anitha
8609,36359,A,2026-06-27,2,Smt. J. Anitha
8610,37145,A,2026-06-30,1,Shri M.V. Reddy
8611,42039,A,2026-06-30,2,Shri M.V. Reddy
8612,45664,B,2026-06-30,2,Shri P.K. Sharma
8613,4203,C,2023-11-05,2,Smt. V. Patil
8614,11234,B,2023-09-09,1,Smt. V. Patil
8615,17361,B,2023-04-05,1,Shri M.V. Reddy
8616,17576,B,2024-02-04,1,Shri T.G. Rao
8617,28309,A,2023-12-27,1,Shri T.G. Rao
8618,29365,A,2023-09-30,2,Smt. D. Savitha
8619,30401,A,2023-07-05,1,Shri B.N. Prasad
8620,35584,B,2023-04-07,1,Smt. D. Savitha
8621,36781,B,2024-02-13,2,Shri P.K. Sharma
8622,38121,B,2023-07-14,2,Smt. J. Anitha
8623,48823,B,2023-07-09,1,Smt. J. Anitha
8624,2878,B,2024-04-27,1,Smt. K. Latha
8625,5018,A,2024-04-14,1,Shri S.R. Naik
8626,10059,B,2024-12-15,1,Shri T.G. Rao
8627,14439,C,2024-06-30,2,Smt. P. Sridevi
8628,20978,B,2025-03-15,2,Shri A. Krishnamurthy
8629,21809,B,2024-06-14,1,Shri Y. Manjunath
